Layer 0;Layer 1;Layer 2;Layer 3;Layer 4;Layer 5;Layer 6;Layer 7;Layer 8;Layer 9;Layer 10;Layer 11;Layer 12;Layer 13;Layer 14;Layer 15;Layer 16;Layer 17;Layer 18;Layer 19;Layer 20;Layer 21;Layer 22;Layer 23;Layer 24;Layer 25;Layer 26;Layer 27;Layer 28;Layer 29;Layer 30;Layer 31;Layer 32;Layer 33;Layer 34;Layer 35;Layer 36;Layer 37;Layer 38;Layer 39;Layer 40;Layer 41;Layer 42;Layer 43;Layer 44;has electron;has proton;has helium;has heavier ion;has bragg peak
2.67;3.2;2.67;2.17;2.67;3.2;2.67;2.67;3.76;3.76;2.67;5.63;7.02;5.63;3.76;11.78;3.76;3.76;3.76;4.36;4.36;7.75;10.93;5.63;6.31;6.31;7.02;7.75;10.1;10.1;17.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
4.98;5.63;3.76;4.36;5.63;6.31;6.31;6.31;9.29;6.31;10.1;9.29;18.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
10.93;3.2;3.76;4.36;14.47;7.75;11.78;4.98;5.63;8.51;7.02;10.1;8.51;12.65;14.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.67;3.76;3.2;2.67;10.93;3.76;3.76;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
3.2;2.67;2.17;2.67;3.2;2.67;2.67;2.67;16.36;2.67;3.2;3.76;3.2;3.2;4.98;3.2;0.59;0.92;0.92;0.59;0.92;2.67;0.92;0.92;1.3;0.92;1.3;1.3;0.92;0.92;0.59;0.92;0.59;0.59;0.92;1.71;0.59;0.92;0.92;0.92;0.92;0.59;1.3;0.92;0.92;0;1;1;0;1
10.93;2.67;7.02;3.2;4.36;3.76;6.31;4.36;4.36;3.76;4.36;3.2;4.36;5.63;4.98;10.1;4.98;5.63;5.63;5.63;5.63;9.29;8.51;9.29;16.36;17.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.67;3.76;3.2;2.67;3.2;3.76;3.2;3.2;4.36;4.36;6.31;3.2;4.36;4.36;4.36;6.31;5.63;7.75;5.63;4.98;7.02;5.63;9.29;9.29;13.55;16.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
4.36;13.55;3.76;2.17;3.2;1.3;0.92;1.3;1.3;1.71;3.2;2.67;2.17;2.17;3.76;7.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
5.63;6.31;10.93;9.29;6.31;8.51;16.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.67;2.67;2.17;2.67;2.67;3.2;3.2;3.2;3.2;2.67;3.2;3.76;2.67;2.67;2.17;4.36;3.76;3.76;3.2;3.2;3.2;3.2;3.76;5.63;4.36;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;0
2.67;3.2;2.67;2.67;2.67;4.98;3.2;2.67;3.2;3.76;3.2;3.2;3.2;3.76;3.76;3.76;6.31;3.76;6.31;13.55;17.34;6.31;4.98;5.63;8.51;7.02;8.51;9.29;19.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
4.36;5.63;11.78;5.63;4.98;7.75;9.29;11.78;3.2;3.2;4.36;6.31;12.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
2.67;2.67;4.98;3.76;3.2;2.17;2.17;2.67;2.67;3.2;2.67;4.36;2.67;3.76;3.2;3.76;4.36;2.67;3.76;4.36;4.36;3.76;7.02;3.76;4.36;3.76;3.76;6.31;4.98;6.31;5.63;9.29;9.29;7.02;14.47;11.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.67;3.76;3.76;3.76;6.31;3.2;3.76;3.2;4.36;5.63;2.67;2.67;3.2;3.76;3.2;3.2;3.76;4.36;4.36;3.76;4.98;4.36;9.29;4.36;4.98;6.31;7.02;8.51;12.65;12.65;18.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
3.76;4.36;3.76;4.36;3.2;7.02;2.67;4.36;3.2;3.2;3.76;3.2;3.2;4.36;3.76;3.76;3.76;4.98;7.75;9.29;6.31;5.63;5.63;7.02;28.15;11.78;11.78;23.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
