Layer 0;Layer 1;Layer 2;Layer 3;Layer 4;Layer 5;Layer 6;Layer 7;Layer 8;Layer 9;Layer 10;Layer 11;Layer 12;Layer 13;Layer 14;Layer 15;Layer 16;Layer 17;Layer 18;Layer 19;Layer 20;Layer 21;Layer 22;Layer 23;Layer 24;Layer 25;Layer 26;Layer 27;Layer 28;Layer 29;Layer 30;Layer 31;Layer 32;Layer 33;Layer 34;Layer 35;Layer 36;Layer 37;Layer 38;Layer 39;Layer 40;Layer 41;Layer 42;Layer 43;Layer 44;has electron;has proton;has helium;has heavier ion;has bragg peak
0.59;0.59;0.92;1.71;0.92;0.92;0.92;0.92;0.59;0.92;0.59;1.3;1.3;1.71;0.92;0.92;0.92;3.2;1.3;9.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0
0.92;0.92;0.92;0.59;0.59;1.3;1.3;1.3;0.92;1.3;0.92;0.92;1.3;1.3;1.3;1.3;0.92;1.71;1.71;3.2;5.63;9.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
1.3;0.92;0.59;0.59;0.59;0.59;0.92;0.92;0.59;0.59;0.92;0.92;0.92;0.92;3.2;0.59;0.59;0.92;0.92;0.59;0.92;0.59;0.92;0.59;0.92;1.3;7.02;1.3;0.92;1.3;1.3;2.17;1.71;2.67;1.71;2.17;2.17;2.17;4.98;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.32;0.92;0.32;1.3;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.32;0.59;0.92;0.92;9.29;0.92;0.59;0.92;0.92;0.92;0.59;0.92;0.92;0.59;0.92;1.3;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0
0.92;1.3;0.92;0.92;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.59;1.3;0.59;0.92;0.92;0.59;0.92;0.59;0.32;1.3;0.92;0.59;0.92;0.92;0.92;1.71;0.92;1.71;1.71;0.92;1.3;1.3;3.2;1.71;2.17;1.71;2.67;4.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.59;1.71;0.59;0.92;0.59;0.59;1.71;0.59;0.59;0.59;0.92;0.92;0.59;0.92;0.59;0.59;0.59;0.92;1.71;1.3;0.92;0.92;0.92;0.59;0.92;0.92;1.71;0.92;1.71;1.3;1.3;1.71;1.3;1.3;1.71;2.67;2.17;2.17;2.67;5.63;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.92;0.59;0.92;0.92;1.3;0.92;0.92;1.3;0.92;1.3;1.3;1.3;2.17;1.3;1.3;2.17;2.67;3.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.59;1.3;0.59;0.92;0.59;0.92;0.92;0.59;0.59;0.92;0.92;1.3;0.92;1.3;0.59;0.92;3.2;0.59;1.3;0.92;1.3;0.92;2.17;1.3;0.92;1.3;1.3;1.71;2.17;1.71;4.98;4.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
0.59;0.59;0.92;0.59;0.59;0.92;0.92;0.59;0.59;0.59;1.3;0.92;0.92;0.59;0.59;0.92;0.59;1.3;0.59;0.92;0.92;0.92;1.3;0.92;0.92;1.3;1.3;1.3;1.3;1.71;1.71;2.67;2.67;2.17;4.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1
